bird.num,year,bird.id,temp.regime
1,2007,Fulmar,cold
2,2007,Fulmar,cold
3,2007,Fulmar,cold
4,2007,Fulmar,cold
5,2007,Fulmar,cold
6,2007,Fulmar,cold
7,2007,Fulmar,cold
8,2007,Fulmar,cold
9,2007,Fulmar,cold
10,2007,Fulmar,cold
11,2007,Fulmar,cold
12,2007,Fulmar,cold
13,2007,Fulmar,cold
14,2007,Fulmar,cold
15,2007,Fulmar,cold
16,2007,Fulmar,cold
17,2007,Fulmar,cold
18,2007,Fulmar,cold
19,2007,Fulmar,cold
20,2007,Fulmar,cold
21,2007,Fulmar,cold
22,2007,Fulmar,cold
23,2007,Fulmar,cold
24,2007,Fulmar,cold
25,2007,Fulmar,cold
26,2007,Fulmar,cold
27,2007,Fulmar,cold
28,2007,Fulmar,cold
29,2007,Fulmar,cold
30,2007,Fulmar,cold
31,2007,Fulmar,cold
32,2007,Fulmar,cold
33,2007,Fulmar,cold
34,2007,Fulmar,cold
35,2007,Fulmar,cold
36,2007,Fulmar,cold
37,2007,Fulmar,cold
38,2007,Fulmar,cold
39,2007,Fulmar,cold
40,2007,Fulmar,cold
41,2007,Fulmar,cold
42,2007,Fulmar,cold
43,2007,Fulmar,cold
44,2007,Fulmar,cold
45,2007,Fulmar,cold
46,2007,Fulmar,cold
47,2007,Fulmar,cold
48,2007,Fulmar,cold
49,2007,Fulmar,cold
50,2007,Fulmar,cold
51,2007,Fulmar,cold
52,2007,Fulmar,cold
53,2007,Fulmar,cold
54,2007,Fulmar,cold
55,2007,Fulmar,cold
56,2007,Fulmar,cold
57,2007,Fulmar,cold
58,2007,Fulmar,cold
59,2007,Fulmar,cold
60,2007,Fulmar,cold
61,2007,Fulmar,cold
62,2007,Fulmar,cold
63,2007,Fulmar,cold
64,2007,Fulmar,cold
65,2007,Fulmar,cold
66,2007,Fulmar,cold
67,2007,Fulmar,cold
68,2007,Fulmar,cold
69,2007,Fulmar,cold
70,2007,Fulmar,cold
71,2007,Fulmar,cold
72,2007,Fulmar,cold
73,2007,Fulmar,cold
74,2007,Fulmar,cold
75,2007,Fulmar,cold
76,2007,Fulmar,cold
77,2007,Fulmar,cold
78,2007,Fulmar,cold
79,2007,Fulmar,cold
80,2007,Fulmar,cold
81,2007,Fulmar,cold
82,2007,Fulmar,cold
83,2007,Fulmar,cold
84,2007,Fulmar,cold
85,2007,Fulmar,cold
86,2007,Fulmar,cold
87,2007,Fulmar,cold
88,2007,Fulmar,cold
89,2007,Fulmar,cold
90,2007,Fulmar,cold
91,2007,Fulmar,cold
92,2007,Fulmar,cold
93,2007,Fulmar,cold
94,2007,Fulmar,cold
95,2007,Fulmar,cold
96,2007,Fulmar,cold
97,2007,Fulmar,cold
98,2007,Fulmar,cold
99,2007,Fulmar,cold
100,2007,Fulmar,cold
101,2007,Fulmar,cold
102,2007,Fulmar,cold
103,2007,Fulmar,cold
104,2007,Fulmar,cold
105,2007,Fulmar,cold
106,2007,Fulmar,cold
107,2007,Fulmar,cold
108,2007,Fulmar,cold
109,2007,Fulmar,cold
110,2007,Fulmar,cold
111,2007,Fulmar,cold
112,2007,Fulmar,cold
113,2007,Fulmar,cold
114,2007,Fulmar,cold
115,2007,Fulmar,cold
116,2007,Fulmar,cold
117,2007,Fulmar,cold
118,2007,Fulmar,cold
119,2007,Fulmar,cold
120,2007,Fulmar,cold
121,2007,Fulmar,cold
122,2007,Fulmar,cold
123,2007,Fulmar,cold
124,2007,Fulmar,cold
125,2007,Fulmar,cold
126,2007,Fulmar,cold
127,2007,Fulmar,cold
128,2007,Fulmar,cold
129,2007,Fulmar,cold
130,2007,Fulmar,cold
131,2007,Fulmar,cold
132,2007,Fulmar,cold
133,2007,Fulmar,cold
134,2007,Fulmar,cold
135,2007,Fulmar,cold
