ID,eye,side,row,morning
1,Right,Left,4,Yes
2,Right,Right,10,No
3,Right,Middle,3,No
4,Right,Left,5,Yes
5,Right,Right,10,No
6,Left,Right,4,No
7,Right,Right,2,No
8,Left,Middle,8,No
9,Right,Right,2,Yes
10,Right,Right,3,No
11,Right,Left,6,No
12,Left,Right,2,No
13,Right,Right,6,No
14,Right,Right,2,No
15,Left,Left,3,No
16,Right,Middle,10,Yes
17,Right,Right,3,No
18,Right,Left,7,No
19,Left,Left,3,Yes
20,Right,Left,5,Yes
21,Right,Left,2,No
22,Right,Left,3,No
23,Right,Right,2,Yes
24,Right,Left,2,No
25,Right,Left,3,No
26,Right,Left,7,Yes
27,Left,Middle,7,No
28,Right,Right,3,Yes
29,Left,Middle,4,No
30,Left,Middle,4,No
31,Left,Right,4,Yes
32,Left,Right,1,No
33,Left,Middle,8,No
34,Right,Middle,2,No
35,Right,Left,3,No
36,Right,Middle,10,No
37,Right,Middle,4,No
38,Left,Right,9,Yes
39,Right,Right,4,No
40,Right,Left,3,No
41,Left,Middle,8,Yes
42,Right,Right,6,Yes
43,Right,Middle,4,Yes
44,Right,Right,1,Yes
45,Right,Middle,3,No
46,Right,Right,5,No
47,Left,Left,6,Yes
48,Right,Left,3,No
49,Right,Left,7,Yes
50,Right,Middle,3,No
51,Right,Left,7,No
52,Right,Middle,8,No
53,Right,Right,9,Yes
54,Left,Middle,6,No
55,Left,Middle,4,Yes
56,Left,Right,6,Yes
57,Right,Middle,3,No
58,Right,Right,1,No
59,Left,Left,9,Yes
60,Right,Left,5,Yes
61,Left,Left,5,No
62,Right,Left,2,No
63,Right,Middle,7,Yes
64,Right,Left,4,No
65,Right,Right,4,No
66,Right,Right,9,Yes
67,Left,Right,3,No
68,Right,Right,8,Yes
69,Right,Left,5,Yes
70,Left,Left,9,No
71,Left,Right,5,No
72,Right,Right,9,No
73,Right,Right,7,No
74,Right,Left,10,No
75,Right,Left,1,Yes
76,Right,Right,5,Yes
77,Left,Right,8,No
78,Left,Right,4,Yes
79,Right,Right,5,No
80,Right,Middle,10,No
81,Right,Right,5,No
82,Right,Middle,2,Yes
83,Left,Middle,6,No
84,Right,Middle,9,No
85,Right,Left,7,No
86,Right,Left,6,No
87,Right,Middle,2,No
88,Right,Middle,8,Yes
89,Right,Left,5,Yes
90,Right,Right,9,No
91,Left,Middle,8,No
92,Left,Left,1,No
93,Right,Right,6,No
94,Left,Middle,2,No
95,Right,Left,7,Yes
96,Right,Left,4,No
97,Left,Right,7,No
98,Right,Right,4,No
99,Left,Left,4,No
100,Right,Left,7,No
101,Right,Middle,2,Yes
102,Left,Middle,7,No
103,Left,Right,4,No
104,Right,Left,6,Yes
105,Right,Right,10,No
106,Right,Left,1,No
107,Left,Left,1,No
108,Right,Middle,8,No
109,Right,Left,5,No
110,Right,Right,6,No
111,Right,Left,6,No
112,Left,Middle,3,No
113,Right,Right,6,Yes
114,Right,Right,6,Yes
115,Right,Left,9,No
116,Right,Right,5,No
117,Left,Right,3,No
